FID IID
2522051 2522051
2577337 2577337
2624457 2624457
2641252 2641252
2713636 2713636
2742894 2742894
2745955 2745955
3034883 3034883
3111960 3111960
3244450 3244450
3311138 3311138
3801759 3801759
3993896 3993896
4847119 4847119
4864447 4864447
1015974 1015974
1064372 1064372
1093545 1093545
1918334 1918334
2088069 2088069
3498813 3498813
1001985 1001985
1002119 1002119
1002597 1002597
1002673 1002673
1004555 1004555
1005233 1005233
1005458 1005458
1005599 1005599
1010290 1010290
1011312 1011312
1011845 1011845
1012563 1012563
1015627 1015627
1018324 1018324
1019904 1019904
1021181 1021181
1022026 1022026
1022551 1022551
1022848 1022848
1023146 1023146
1025299 1025299
1027169 1027169
1027593 1027593
1032797 1032797
1034703 1034703
1034776 1034776
1034819 1034819
1036573 1036573
1036635 1036635
1040130 1040130
1043153 1043153
1045156 1045156
1045214 1045214
1047010 1047010
1047159 1047159
1048018 1048018
1049645 1049645
1050184 1050184
1051182 1051182
1052545 1052545
1052896 1052896
1053177 1053177
1053304 1053304
1053890 1053890
1059045 1059045
1059943 1059943
1060046 1060046
1060289 1060289
1060787 1060787
1060858 1060858
1064204 1064204
1064444 1064444
1064556 1064556
1065088 1065088
1065476 1065476
1067195 1067195
1068369 1068369
1068974 1068974
1069402 1069402
1071806 1071806
1072488 1072488
1073030 1073030
1073212 1073212
1077910 1077910
1078494 1078494
1078595 1078595
1078656 1078656
1081917 1081917
1082327 1082327
1086353 1086353
1086655 1086655
1089637 1089637
1090589 1090589
1092553 1092553
1092625 1092625
1093768 1093768
1093896 1093896
1094353 1094353
1096232 1096232
1100659 1100659
1103467 1103467
1104562 1104562
1109154 1109154
1109389 1109389
1111322 1111322
1113073 1113073
1113434 1113434
1114210 1114210
1114635 1114635
1115258 1115258
1118236 1118236
1119753 1119753
1121207 1121207
1121645 1121645
1124913 1124913
1127931 1127931
1128065 1128065
1128909 1128909
1130516 1130516
1131052 1131052
1131302 1131302
1132631 1132631
1132981 1132981
1133194 1133194
1133521 1133521
1134005 1134005
1136094 1136094
1140721 1140721
1141355 1141355
1144672 1144672
1145996 1145996
1147575 1147575
1148778 1148778
1151084 1151084
1152565 1152565
1153204 1153204
1153934 1153934
1154748 1154748
1155072 1155072
1155093 1155093
1156318 1156318
1156973 1156973
1157932 1157932
1158087 1158087
1158758 1158758
1159189 1159189
1159960 1159960
1161298 1161298
1161954 1161954
1162533 1162533
1168811 1168811
1171398 1171398
1173260 1173260
1174972 1174972
1176777 1176777
1177164 1177164
1177807 1177807
1178135 1178135
1179394 1179394
1180209 1180209
1182294 1182294
